W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,T,P,G,D,W,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,W
W,H,W,W,W,H,H,H,H,H,W,H,W,W,W,H,H,H,E,H,W,H,W,W,W,H,H,H,H,W
W,H,H,H,W,H,H,H,H,H,W,H,H,H,W,H,H,H,H,H,W,H,H,H,W,H,H,H,H,W
W,W,W,H,W,H,W,W,W,W,W,W,W,H,W,H,W,W,W,W,W,W,W,H,W,H,W,W,W,W
W,H,H,H,H,H,H,H,H,H,H,H,H,H,H,G,H,H,H,H,H,H,H,H,H,H,H,H,H,W
W,H,W,W,W,H,W,W,W,W,W,W,H,W,W,H,W,W,W,W,W,H,W,W,W,H,W,W,W,W
W,H,T,H,W,H,H,W,W,W,W,H,T,H,W,H,H,W,W,W,W,H,T,H,W,H,H,W,W,W
W,W,H,W,W,W,H,H,H,H,W,W,H,W,W,W,H,H,H,H,W,W,H,W,W,W,H,H,H,W
W,W,H,W,W,W,W,W,E,H,W,W,H,W,W,W,W,W,E,H,W,W,H,W,W,W,W,W,E,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
